ids,date,user,replyCount,retweetCount,likeCount,lang,text,country,sentiment
1512459188441686028,2022-04-08 15:55:45+00:00,ctcapitolreport,0,0,0,en,"'Give us some f*****g weapons please': US Army veteran, 47, who left Connecticut to join Ukraine's battle against Russia pleads for the West to send more military equipment and say 'if not, may as well bring body bags'... https://t.co/7quCpKlwk3",Ukraine,1
1512459188059922433,2022-04-08 15:55:45+00:00,AlexKokcharov,0,0,0,en,"War crimes committed by invading #Russia|n forces in #Ukraine are just horrific.

These are just several crimes listed by Ukraine's Human Rights Ombundswoman Denisova: https://t.co/eP1E31bxKx",Ukraine,0
1512459188026454018,2022-04-08 15:55:45+00:00,RogertheGS,0,0,0,en,"@wgervais @travismkent Looks like my instinct was correct despite the ""well actually's"" (a special arrangement for an emeritus prof, Ukraine refugee, etc.) No matter what the reason, arrangements should not corrupt the competitive hiring procedure, and teaching should not be an uncompensated sideline.",Ukraine,1
1512459187309191175,2022-04-08 15:55:45+00:00,liamwes19,1,0,0,en,"Hello everyone, today I will be tweeting about some of the things that Simon Coveney will be talking about on the horrible situation happening in Ukraine. #jm4006 #tweetexcercisetwo",Ukraine,1
1512459186994618369,2022-04-08 15:55:44+00:00,OKP12355600,0,0,0,en,"@EU_Justice @EUDELCoE Nazies terrorize own Ukrainian civilians. Men stopped and beaten up on the street. You can hear voice of a man asking ""Why you do it to us? Please explain us."", and voice of Nazi demanding to shout ""Glory to Ukraine!"". One man is striped and God knows what nazis will do to him 🤬 https://t.co/bV3hpLaZfj",Ukraine,1
1512459185467842571,2022-04-08 15:55:44+00:00,YEASTY_COMMIE,0,0,0,en,"No Nazis in Ukraine guys ! Nothing to see here, please donate money to the armed forces of Ukraine https://t.co/jbORVfepRe https://t.co/O6WiG5D6Qv",Ukraine,1
1512459184171802625,2022-04-08 15:55:44+00:00,mpouye45,0,0,0,fr,@EmmanuelMacron Tout ça c’est à cause de vous tous les morts si vous aviez laissés l’Ukraine tranquille avec vos affaires de l’union Européenne y aura aujourd’hui aucun mort ni de bombardements France toujours son nom s’inscrit sur tous les problèmes du monde Palestine Ukraine Syrie et autres,Ukraine,1
1512459184146690049,2022-04-08 15:55:44+00:00,gainesm,0,0,0,en,"@yesthatkarim @juliaioffe Putin’s Ukraine rhetoric is for obfuscation and support/cover, or did you not listen to his long rambling speech in which he went on about how Ukraine didn’t turn over assets when it left the USSR? 

There *is* a NatSec problem, but it ain’t about NATO proximity. Just sayin’.",Ukraine,0
1512459183584649218,2022-04-08 15:55:44+00:00,mew_mew_ua,0,0,0,en,My new style @rihanna KISS KISS 💋 #Ukraine #nft #NFTs #nftcollector #NFTProject #NFT #NFTCollection #style #Metaverse #Rihanna       https://t.co/7m0wxLt6DE https://t.co/7ImkFfGxEC,Ukraine,1
1512459183555334151,2022-04-08 15:55:44+00:00,Skhellter,0,0,0,en,@AkKano2000 he's gone full tankie about Ukraine. https://t.co/t7KajJSsdn,Ukraine,0
1512459183207038979,2022-04-08 15:55:44+00:00,IloveTheReidOu1,0,0,0,en,"Higher food prices from Ukraine war will push up to 47 million people into acute hunger, UN says - The Globe and Mail just one more reason Putin is the Devil https://t.co/bzy8APiy0X",Ukraine,0
1512459182817124353,2022-04-08 15:55:43+00:00,niedziela_pl,0,0,0,pl,"Ekumeniczny #patriarcha Konstantynopola #Bartłomiej powiedział, że #wojna nie może rozwiązać problemów świata. Sprzeciwił się też uznawaniu przyznania #autokefalii Prawosławnemu Kościołowi #Ukrainy za przyczynę agresji #Rosji na Ukrainę.
https://t.co/uaBk4W5bsW",Ukraine,1
1512459182267584517,2022-04-08 15:55:43+00:00,Krma4Karma,1,0,0,en,"⚡️🇺🇦After Stavnitser had given this information to the Armed Forces of Ukraine, they destroyed Russian equipment.
✊”I'll rebuild my house. We'll rebuild Ukraine. The main thing is saving Ukrainians, as many as we can.",Ukraine,0
1512459180929597447,2022-04-08 15:55:43+00:00,m_munck,0,0,0,en,"Learn now,be safe tomorrow:HAM radio is a great communication tool for #Preppers
https://t.co/3tFW50PMc1
Notifications
Rex Manning
#FridayFeeling
#fridaymorning
Daily Quordle 74
Judge
Wordle 293 X
#FridayVibes
#RepBX
Yankees #Preppers #Prepping #Ukraine #UkraineInvasion",Ukraine,1
1512459180678033412,2022-04-08 15:55:43+00:00,XavierRyanXXX,0,0,0,en,The same people who are now the biggest supporters of Ukraine be like wut is the holodomor?,Ukraine,1
1512459179520405509,2022-04-08 15:55:43+00:00,wesruv,0,0,0,en,"Musk didn't found Tesla, isn't the lead spaceship designer at SpaceX, isn't self-made, isn't footing the bill for sending StarLink to Ukraine.

He is definitely a rich shit that pays/influences his way into people saying/thinking these things. He's Edison, not Tesla.",Ukraine,0
1512459177855234059,2022-04-08 15:55:42+00:00,Aristomojo,0,0,0,en,@ClassicRockMag Simping for Ukraine is pathetic,Ukraine,0
1512459176823373838,2022-04-08 15:55:42+00:00,Galina4551789,0,0,0,en,"@YourAnonNews russians are kidnapping children from Ukraine during war. They are going to get them adopted in russia or do smth else nobody knows. They already took 120000 kids, some were taken away from alive parents, they were separated. Is it possible for you somehow to find info about kids",Ukraine,0
1512459176609468418,2022-04-08 15:55:42+00:00,valezhnik001,0,0,0,en,"@ElisaFerreiraEC Our homes are being wiped off the face of the earth.  Now the Easter holidays will begin all over Europe, while blood will be shed in Ukraine.  We are grateful for any support, but only armed support will help stop this darkness, this Russia. 

#Bucha #StopWar #StandWithUkraine",Ukraine,0
1512459176395616257,2022-04-08 15:55:42+00:00,Hardy_A_Karl,0,0,0,de,"Agrargiganten nutzen den Krieg in der Ukraine, um ein Gesetz zum Schutz der Natur zu verhindern. 
Sie wollen Land auf Kosten von Wäldern, Feuchtgebieten und Familienbetrieben erobern. 
Schützen sie die Natur, nicht die Profite! #naturenotprofits https://t.co/DeSfZUwK94",Ukraine,1
1512459174122303497,2022-04-08 15:55:41+00:00,f_longfield,0,0,0,en,"@cocotrolololo8 @OwenJones84 Russian armed forces need to be expelled frm Ukraine by force as they have been defeated and expelled from most of Ukraine so far.

You disagree? You think they should've been allowed into Kiev to massacre and butcher pple at will? Or do u believe in pple's right to self defence?",Ukraine,1
1512459169919639553,2022-04-08 15:55:40+00:00,Allaolivia,0,0,0,fr,"@nz_angel_1 @LCI C’est faux. Il y a des nombreuses vidéos ou on voit ces lances missiles « point y » dans les colonnes des engins militaires russes en Ukraine 
Donc, c’est bien la Russie qui a utilisé ses missiles …",Ukraine,1
1512459168791244808,2022-04-08 15:55:40+00:00,TRUMP2024LETSGO,0,0,0,en,"@dreynders @EU_Commission @EU_Justice @MFA_Ukraine @ukraineoffice I heard they were screaming ""I'm dying""",Ukraine,0
1512459168250269697,2022-04-08 15:55:40+00:00,panniger,0,0,0,it,"Secondo la portavoce del ministero degli Esteri russo, Maria Zakharova, #Ukraine non vuol condividere la ricetta del borscht con #Russia e questo è ""nazismo e razzismo"". Il video sembra autentico, non sembra essere satira. Le fonti russe sulla #UkraineRussiaWar sono imperdibili https://t.co/5AWXwmkCtA",Ukraine,0
1512459167373660162,2022-04-08 15:55:40+00:00,_Nex3_,0,0,0,lt,"#Russia 🇷🇺 / #Ukraine 🇺🇦

Kramators'k

#RussiaUkraineWar 
#RussiaUkraineConflict https://t.co/AZoiI9sezE",Ukraine,0
1512459164307669001,2022-04-08 15:55:39+00:00,KremlinTrolls,0,0,0,en,"Russia is attacking our account, deleting and restricting tweets to suppress evidence of war crimes in Ukraine.

Please ReTweet our pinned tweet",Ukraine,1
1512459162470555657,2022-04-08 15:55:39+00:00,cynthacreates,0,0,0,en,"very grateful for my weird network of colleagues who have worked/lived in Ukraine, Poland, and Russia because they are the only things helping me keep a shred of sanity as I try to keep doing anything",Ukraine,1
1512459162361507846,2022-04-08 15:55:39+00:00,theoldmanrabbi,0,0,0,en,"@ChrisHu34451470 2/2 Difference? Israeli won 3 wars in a row. Hamas was isolated. Like Russia will be.

When Ukraine wins ... do you think all will be forgotten? Do you think the world will open their doors to Russia or will isolate it? Like the world has isolated Hamas",Ukraine,1
1512459160117460994,2022-04-08 15:55:38+00:00,JackieA49470113,0,0,0,en,"@yermolenko_v ""Russians hate/dehumanize"" anyone who is not Russian.That makes it easier to kill the people in the countries they invade.Ukraine isn't the first and won't be the last if they are not stopped.Never let Russians settle in your country because eventually they will want to take it.",Ukraine,0
1512459158657896465,2022-04-08 15:55:38+00:00,Fidget02,0,0,0,en,08/04/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified**  Large loud explosion followed by smaller ones in Kharkiv city centre about 30 minutes ago.,Ukraine,1
1512459158309769228,2022-04-08 15:55:38+00:00,FredJoli,0,0,0,fr,"La guerre en #Ukraine efface tout autre actualité #humanitaire. La #Libye, par exemple. @CICR_fr @RFIAfrique @LeMonde_Afrique @JNMartiICRC https://t.co/NoePjmcKCr",Ukraine,0
1512459158041378819,2022-04-08 15:55:38+00:00,porto1958,0,0,0,en,"Puerto Rico: we are in a blackout. 
US Government: we are busy sending bombs to Ukraine.
Puerto Rico: we are a US territory.
US Government: 🖕",Ukraine,1
1512459157340930048,2022-04-08 15:55:37+00:00,notweirdnormal,0,0,0,en,"@frederickcheng5 no European sacrifice is too great to ensure that the US can put military bases in Ukraine

Slava ukraini",Ukraine,1
1512459156850036737,2022-04-08 15:55:37+00:00,kanyakornkorat1,0,0,0,en,"@nytimes Evidence that Ukraine fired rockets at Russian citizens                         1. Tochka rocket in service in the Ukrainian army. 2. The tail of a rocket that crashes in the city of Kramatorsk looks like a Ukrainian Tochka rocket. The Russian Iskander rocket has a narrow tail,",Ukraine,1
1512459155793195015,2022-04-08 15:55:37+00:00,StefHolland1,0,0,0,en,"🤦🏻‍♂️🧐

Nato states agree to supply heavy weapons to Ukraine https://t.co/oc5lF1K1EH",Ukraine,0
1512459155315077123,2022-04-08 15:55:37+00:00,AcessDenied1,0,0,0,en,@Biz_Ukraine_Mag I'm at saturation point with the Russisns media shitshow. https://t.co/eS8G9Y72e6,Ukraine,1
1512459155294064646,2022-04-08 15:55:37+00:00,JoinRejoinEU,0,0,0,en,"@ukraine_world Even Putin's mouthpiece looks uncomfortable saying all that bullshit. She probably even wrote it, and it sounded 'good' in her head. As soon as it comes out of her mouth though - wow.",Ukraine,0
1512459153016598530,2022-04-08 15:55:36+00:00,komarnyckyj,0,0,1,en,#Ukraine are we going to let #Russia destroy an entire nation? The Kremlin is a serial perpetrator of genocide. https://t.co/KFr7Fzsn1i,Ukraine,0
1512459152685035521,2022-04-08 15:55:36+00:00,Center4SciHuman,0,0,0,en,"@MrAndyNgo Glad you're on the side of freedom/Ukraine, Andy, as certain conservatives (Trump, Tucker) seem to effectively be running interference for Russia, basically.",Ukraine,1
1512459151913459720,2022-04-08 15:55:36+00:00,corrie_hulse,0,0,0,en,"""With the world’s focus on Ukraine, we cannot forget other crises around the globe, especially as the economic impacts of the Russian invasion are being felt far and wide, and with the gap between humanitarian funding and soaring emergency aid needs already at record levels."" https://t.co/MZv9yaZVfg",Ukraine,0
1512459149883461636,2022-04-08 15:55:36+00:00,pip_dragon,0,0,0,en,"@robrobe61662689 @ErikBerger79 @redelpegeorge @TheEconomist Russia is the problem. Russia invaded in 2014, when Ukraine was NEUTRAL. 

The Russian language was NEVER repressed in Ukraine, not even now.

To say Ukraine is somehow responsible is sheer Russian propaganda.",Ukraine,0
1512459149308796934,2022-04-08 15:55:35+00:00,Orgetorix,0,0,0,en,Russians- spending on food doubles following Ukraine war - https://t.co/zL0KLBceNo via @cyprusmail,Ukraine,1
1512459148893605898,2022-04-08 15:55:35+00:00,lildutryvert,0,0,0,nl,"@janjoeotto @JohanB50 Claimt zich zorgen te maken om de burgers van het westen die een corrupte regering hebben (spreekt voor zich dat dit hypocriet is), claimt ukraine binnen te vallen om het nazi probleem aan te pakken (als 1 vd grote redenen) maar kampt in eigen land met groei van extreemrechts",Ukraine,1
1512459148063035392,2022-04-08 15:55:35+00:00,BanooZan,0,0,0,en,"#Recording is now available: Poets in Respone to #Peril: #Canadian #poets responding to #Ukraine #War. Over 30 poets resfing &amp; 100 people joining. I appear at around minute 42. Thanks to @r_sitoski
https://t.co/XZkQluMO8z",Ukraine,1
1512459147996020737,2022-04-08 15:55:35+00:00,TanitoFesta,0,0,0,es,"#Ahora #putin #russia #ucrania
❗️⚡️#Ukraine En Kiev, comenzó la reunión entre Ursula von der Leyen, Josep Borrell y el Presidente, Zelensky 

Tras las conversaciones, harán declaraciones a los medios de comunicación. https://t.co/kqyq463oY3",Ukraine,1
1512459137367617544,2022-04-08 15:55:33+00:00,JauneJaunehendy,0,0,0,en,@RussianEmbassy @mod_russia @mfa_russia @RusembUkraine @InsiderDonbass @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @RT_com You are telling lies. Your grandchildren will know the truth. Glory to Ukraine.,Ukraine,1
1512459136201629697,2022-04-08 15:55:32+00:00,judka1,0,0,0,en,Ukraine Demolishes Putin's Super Tanks | What Explains The Huge Damage T... https://t.co/eNEf1ileIP via @YouTube,Ukraine,1
1512459135471730691,2022-04-08 15:55:32+00:00,PornStarIsCool,0,0,0,en,@romanoperrier @Kasparov63 This is why Ukraine needs to win this war!,Ukraine,0
1512459135157211137,2022-04-08 15:55:32+00:00,FlNLlN,0,0,0,en,"After the chaos has now paused I simply cannot believe that in the span of a month my family was evicted, my uncle died, I went to a wedding, I went to a concert, war started in Ukraine, I box dyed my hair blonder, joined two clubs, and I fell into an Intense mental spiral",Ukraine,0
1512459134410448903,2022-04-08 15:55:32+00:00,GoDharmic,0,0,0,en,"We love the reference to Robert Frost’s “The Road Not Taken”!
John Klock, a GD volunteer from USA, was serving the people &amp; doing exceptional work at the Poland-Ukraine border. His compassion &amp; dedication to human life should move everyone to love &amp; be kind.

#Ukraine #godharmic https://t.co/1xBT2XAPiT",Ukraine,1
1512459134079279111,2022-04-08 15:55:32+00:00,Anoutsid3r,0,0,0,en,@RF_OSCE @mfa_russia You aren't the victims. #Ukraine,Ukraine,0
1512459132149899264,2022-04-08 15:55:31+00:00,YvesPDB,0,0,0,fr,"Ce qui se passe réellement en Ukraine, selon cet ex-commandant des forces spéciales australiennes ! https://t.co/HErlzf6Qjf",Ukraine,1
1512459131613032450,2022-04-08 15:55:31+00:00,slidingspaces,0,0,0,en,@MalachiCnft Note the blue yellow ears in solidarity with Ukraine.,Ukraine,1
1512459130027618305,2022-04-08 15:55:31+00:00,mpbresson,0,0,0,fr,"🇺🇦Avant de décerner à #Kharkiv, ville jumelle de #Lille, la citoyenneté d’honneur, les https://t.co/XFIWxBPjPz du #CMLille observent une minute de silence en hommage à l’#Ukraine assiégée par la Russie, puis applaudissent le courage  des https://t.co/oEjHAz2xvB de Kharkiv. https://t.co/p74kvNHruW",Ukraine,1
1512459128060448775,2022-04-08 15:55:30+00:00,glinch72,0,0,0,en,@BL20422822 @6lennybravo @fishyfish67 @DelusionsMass @ALefty123 @BellRoniBell @JohnOz1900 @Barbarajdurkin @RustyAway @Neilcharles1450 @DamienHamilto17 @RAM0667 @insane_voice @biffmack @Racing_Mackay @Jaisans @Anvndarnamn5 @jpgcrowley @GaryWHall @cbeckj @Lorrilala @aSinister @andyboulo @ponycar06 @MedBennett @canalzone68 @KevinSecular2 @AlexVickeryHowe @SeanFlan45 @Narvuntien @brandondaly2018 @IngersolRobert @TobyRayEnglish @ItsTheAtmospher @Ceist8 @ChrisBBacon3 @Jonnyporkchop @pauladamsalber1 @TomPlesier @janggly @NeatCraftsmen @TheDisproof @10kClimate @ozzorro1 @robhon_ @LouisCy72344053 @The_Doctor_Why @GeraldKutney @JohnDublin10 @PoeBrianL Nobody supports nazis in Ukraine,Ukraine,0
1512459125820739585,2022-04-08 15:55:30+00:00,Butenkieler1978,0,0,0,en,"@vonderleyen @JosepBorrellF Pls try your best to turn this clear message into the support the Ukraine needs. It is important that EU speaks and most importantly acts with one one voice here. For Ukraine, for our children in Western Europe and their children",Ukraine,1
1512459125816446984,2022-04-08 15:55:30+00:00,BOudenhooven,0,0,0,en,@lesiavasylenko Exactly EU must match what they give Russia and give that to Ukraine.,Ukraine,1
1512459125602541571,2022-04-08 15:55:30+00:00,prominentplay,0,0,0,en,@BenTelerski What is their position on Ukraine?,Ukraine,0
1512459125598400512,2022-04-08 15:55:30+00:00,SergeWinkler1,0,0,0,de,"@enver_robelli Was Putin nicht will ? Die Ukraine wie Kosovo. Dort steht jetzt mit Camp Bondsteel eine der grössten US-Militärbasen weltweit. Nach 2 Jahren Pharma-Lobby Journalismus, sehen wir jetzt Nato Berichterstattung.",Ukraine,1
1512459124981784583,2022-04-08 15:55:30+00:00,M_R_TEMPEL,0,0,0,en,"“Mriya aid leverages our network of experts in logistics , contracting , defence and security , procurement and fundraising to secure and transport to our boots on de ground on Ukraine’s border “ 

https://t.co/2R5uf2Psa7",Ukraine,1
1512459124071706624,2022-04-08 15:55:29+00:00,Beria2022,0,0,0,en,"If indeed you care so much about thousands of meaninglessly killed Russian soldiers in Ukraine go for Putin and not for one of the last journalist left in Russia, Muratov. https://t.co/uUcU9C8kvV",Ukraine,0
1512459123794886666,2022-04-08 15:55:29+00:00,HarryMbike,0,0,0,en,"@cocotrolololo8 @OwenJones84 It's also exceptionally hard to see how giving Russia Donbass is any more anti-war than giving Hitler Sudetenland was. Putin clearly wants all of Ukraine,  he would have just gone to war again.",Ukraine,0
1512459122461003777,2022-04-08 15:55:29+00:00,KingsCDS,0,0,0,en,Russia and the UK: The Integrated Review in light of Russia's war in Ukraine | @MaxineDavid &amp; @NKuhrt write the first essay in a new volume reflecting on the UK Integrated Review one year on @KCLSecurity @KingsCDS https://t.co/hycy1BbuOe,Ukraine,1
1512459122435923977,2022-04-08 15:55:29+00:00,safetywing,1,0,0,en,"UPDATES AS OF APRIL 8th:

Here is the latest info on resources for anyone affected by the war in Ukraine:

• Canada released information for Ukrainian refugees to apply for emergency travel authorization/temporary residence programs, and work permits: https://t.co/Dbvy5fwIyD",Ukraine,0
1512459122406481928,2022-04-08 15:55:29+00:00,NompumeleloAma1,0,0,0,en,"@officialgash1 Your greedy gov happened, accompanied by the Russian Ukraine thing",Ukraine,0
1512459122251538436,2022-04-08 15:55:29+00:00,GoestoOfficial,0,0,0,en,"@ikroosh @VeraVanHorne A preliminary analysis of Tochka-U's trajectory by Russian experts revealed that the missile had arrived from the south-west, an area under the control of the Armed Forces of Ukraine.
The maximum flight range of the Tochka-U missile is 120 km without maneuverability 01 https://t.co/qziUqayUdB",Ukraine,0
1512459121425100800,2022-04-08 15:55:29+00:00,RaulOcaranza1,0,0,0,en,"Today...
marks 1 month of International Women's Day...
It seems appropriate to remember 

Irina Tsvila, 

as the 1 woman to die in combat for her (everyone's) homeland: Ukraine

#love #respect #Courage #bravery #inclusion 
#leaders #Entrepreneurs #Union #Peace 
#TogetherStronger https://t.co/jHJ50ZL2Dd",Ukraine,1
1512459121274064898,2022-04-08 15:55:29+00:00,PoesieD_Olivier,0,0,0,en,"Some notes of sweetness,
Under the sun tenderness,
May they come to you,
May they arrive in #Ukraine too 🕊️☮️ https://t.co/iUn5tEP96U",Ukraine,1
1512459121009778689,2022-04-08 15:55:29+00:00,Zennistrad,0,0,0,en,@LGBTankie @realPhoenixFire The USSR never aimed to make Manchuria part of its own territory. The Russian Federation explicitly wants to do so to Ukraine.,Ukraine,0
1512459120309411841,2022-04-08 15:55:29+00:00,aw_journal2021,0,0,0,en,Ukraine war: 39 dead in explosion at railway station as wrecked missile has ‘for what has been done to the children’ painted on it in Russian | World News https://t.co/sWue6jqHac,Ukraine,0
1512459120133259266,2022-04-08 15:55:29+00:00,Bagherzadeh,0,0,0,en,John Mearsheimer - What Should Ukraine Do &amp; Is Russia Losing The War Due... https://t.co/j5ryKhRFPF via @YouTube,Ukraine,0
1512459118182809609,2022-04-08 15:55:28+00:00,DecodingTrolls,0,0,0,en,"@OxanaShevel Occam's razor helps here, even without knowing the facts: Which side actually invaded Ukraine, a sovereign state? Does it assume less that the aggressor wrote ""for children"" on a cluster munition carrying rocket? Yeph. QED. Was Russia wot did it. https://t.co/GbuBzTvGSx",Ukraine,1
1512459117117464580,2022-04-08 15:55:28+00:00,amdalvord,0,0,0,en,Ukraine says Russian strike on train station kills dozens trying to flee https://t.co/UTECaGomU4,Ukraine,0
1512459116585046016,2022-04-08 15:55:28+00:00,MIKELBEGAN508,0,0,0,und,"@TerkehhBsc @SpaceX @flagnetwork_NFT 
@Ukraine 
@Hotmoontoken",Ukraine,0
1512459114835759111,2022-04-08 15:55:27+00:00,Claudet10142013,0,0,0,en,"President Biden (@POTUS) Tweeted:
I want to be clear: We will defend every inch of NATO territory with the full might of a united and galvanized NATO.

But we will not fight a war against Russia in Ukraine.
 
A direct confrontation between NATO and Russia  https://t.co/ABI7r2spKP",Ukraine,0
1512459114378674186,2022-04-08 15:55:27+00:00,MrWhisporz,0,0,0,en,@RandyRRQuaid Romenys son also worked for a Ukraine gas company that paid him millions. His son also has no experience and didnt show up for work to get those millions. Romney is just the democrats B now.,Ukraine,0
1512459114072395788,2022-04-08 15:55:27+00:00,camlt_04,0,0,0,en,@LTRR2000 @PravinSawhney Wtf is the US supposed to do with Ukraine? The east fears the US military so much Putin threatened the entire safety of the planet to avoid direct conflict with America,Ukraine,0
1512459113116098568,2022-04-08 15:55:27+00:00,MarymoBelfast,0,0,0,en,"@DanielleNoahsA1 Never anything. That's why I have absolutely no faith in the government, anywhere. Not our own either. They're standing up giving speeches about Russia and Ukraine, but this is ok? Bandwagon sympathy. Turns me sour",Ukraine,0
1512459112709345284,2022-04-08 15:55:27+00:00,YulianSMarinov,0,0,0,und,@AlpiniVik @NoWarIn_Ukraine @rtve Febrero del 2022 🧐  Manda les saludos al resto del 72  ЦИПсО,Ukraine,1
1512459111992070156,2022-04-08 15:55:27+00:00,guyelster,0,0,0,en,PM Johnson says UK will supply #Ukraine with a new batch of weapons,Ukraine,1
1512459109198610432,2022-04-08 15:55:26+00:00,SenatorWicker,1,1,0,en,"Ukraine is asking for more support as Russia regroups for new attacks. @SECDEF told me today that the U.S. still has not gotten the Ukrainians all the weapons they have asked for. This needs to change.

https://t.co/BaiooODVKp",Ukraine,0
1512459109127233536,2022-04-08 15:55:26+00:00,cz_binancian,0,0,0,en,Ukrainian president Zelensky is color xerox of arvind kejliwal... 24x7 on TV or begging world parliaments and blaming @KremlinRussia_E for everything... He is the villain in first place for destruction of ukraine. #RussiaUkraineConflict,Ukraine,1
1512459108586340369,2022-04-08 15:55:26+00:00,stemilenko,0,0,0,en,@ALTMISSEKIZLI @MeilutyteRuta Interesting that this question is never answered by people supporting Ukraine. Or hating Russia.,Ukraine,0
1512459107856531458,2022-04-08 15:55:26+00:00,livdose,0,0,0,en,"50, Including 5 Children, Killed In Ukraine Train Station Attack: 10 Points https://t.co/NC6FoM0vHM",Ukraine,0
1512459107147546625,2022-04-08 15:55:25+00:00,be4mars,0,0,0,zh,@hu_lalalalala 《Ukraine on Fire》by Oliver Stone，也推荐你看完再愤怒。,Ukraine,1
1512459103901208576,2022-04-08 15:55:25+00:00,Florin_Uncovers,0,0,0,en,"@EliotHiggins The message ""For our kids"" could be in reference to the children killed in Zugres in a 2014 attack attributed to Ukraine.
The missiles that hit the Kramatorsk station today killing many seem to have been launched from the Russian controlled Zugres area.
https://t.co/IMh0fnftEi",Ukraine,0
1512459103041474580,2022-04-08 15:55:24+00:00,LilySheldon17,0,0,0,en,"@SavvyTroll @McFaul @Ruffitup And in considering that difference, especially compared to the many  ""proxy"" wars between the US &amp; Soviets, does it point to Russia trying to use Ukraine to provoke WWIII?",Ukraine,1
1512459103037235200,2022-04-08 15:55:24+00:00,Asiootus11,0,0,0,en,@vonderleyen @JosepBorrellF What about atrocities in the last 8 years from Azov who killed more than 14000 russian people in Ukraine ? Just asking ...,Ukraine,0
1512459101510545417,2022-04-08 15:55:24+00:00,snitsova,0,0,0,en,"Though we should also keep in mind that Russia's war against Ukraine might shift the balance between economic interests and security concerns at the global level. In fact, we are seeing signs of this happening already. All tensions to watch closely🤓",Ukraine,0
1512459098755055616,2022-04-08 15:55:23+00:00,croncronic,0,0,0,und,#Ukraine #StandUpForUkraine https://t.co/dItrzuPq3c,Ukraine,0
1512459098176077832,2022-04-08 15:55:23+00:00,jackquack16,0,0,0,en,"Ukraine state-affiliated media #LBC  never report on USA import of Russian oil up 43% last week.

Or USA dropping its sanctions on Russian fertiliser. https://t.co/UTuG6lH76M",Ukraine,0
1512459095596535824,2022-04-08 15:55:23+00:00,PolTrad,0,0,0,en,"@PhilJohnGoode1 @IanDunt @RichardBentall He was wrong on NATO, just as pitifully as Merkel and Sarkozy were to block Ukraine joining. Putin would not be committing war crimes on civilians if Ukraine had been allowed to join NATO. NATO is all that prevents fascist Putin invading other neighbouring countries.",Ukraine,0
